NO_CIV_LIE,PREFIX_TEM,NOM_TEMP,DIR_TEMP,MUN_TEMP,DESC_LIEU,LATITUDE,LONGITUDE,X,Y
4 139,BOUL,SOURCES DES,,DDO,POSTE DE QUARTIER 4,45.49440000020,-73.80730000050,280782.05001043,5039432.26350284
8 930,BOUL,PIE-IX,,MTL,POSTE DE QUARTIER 30,45.57770000030,-73.61739999990,295637.788999419,5048650.25593691
4 555,RUE,HOCHELAGA,,MTL,POSTE DE QUARTIER 23,45.55690000020,-73.54590000030,301216.518466975,5046333.03628669
11 756,BOUL,O'BRIEN,,MTL,POSTE DE QUARTIER 10,45.52850000000,-73.70100000040,289099.727535319,5043195.53540243
6 100,BOUL,HENRI-BOURASSA,,MTN,POSTE DE QUARTIER 39,45.60769999960,-73.61560000010,295783.071193995,5051984.0191112
395,BOUL,ST-JEAN,,PCL,POSTE DE QUARTIER 5,45.44789999910,-73.81589999980,280089.579955731,5034267.33261144
21,STRE,STANTON,,WES,POSTE DE QUARTIER 12,45.48640000080,-73.59870000000,297084.713826585,5038502.02478708
1 625,AVEN,EGLISE DE L',,MTL,POSTE DE QUARTIER 15,45.46370000020,-73.58500000000,298152.961783205,5035978.15076701
1 498,BOUL,ST-JEAN-BAPTISTE,,MTL,POSTE DE QUARTIER 49,45.64159999970,-73.50540000010,304379.047761402,5055744.93770751
920,RUE,BELANGER,,MTL,POSTE DE QUARTIER 35,45.53979999940,-73.60910000000,296279.817149857,5044437.45458332
1 761,RUE,GRENET,,VSL,POSTE DE QUARTIER 7,45.51840000040,-73.69670000020,289432.854483541,5042072.28170154
2 883,BOUL,ST-CHARLES,,KIR,POSTE DE QUARTIER 1,45.44730000010,-73.85230000040,277241.997024429,5034212.48671688
170,AVEN,15E,,LAC,POSTE DE QUARTIER 8,45.43439999970,-73.67710000000,290943.528353861,5032733.80073099
6 850,BOUL,JOSEPH-RENAUD,,ANJ,POSTE DE QUARTIER 46,45.60500000040,-73.55300000030,300665.742551828,5051678.82781134
5 501,AVEN,WESTMINSTER,,CSL,POSTE DE QUARTIER 9,45.45979999940,-73.66210000030,292122.833263554,5035554.01227912
1 669,RUE,BERRI,,MTL,POSTE DE QUARTIER 21,45.51649999990,-73.56309999990,299870.159929065,5041844.24970038
1 033,RUE,RACHEL,E,MTL,POSTE DE QUARTIER 38,45.52549999950,-73.57519999980,298925.754820475,5042845.24124566
8 745,BOUL,LASALLE,,LAS,POSTE DE QUARTIER 13,45.41550000010,-73.62170000000,295274.898787297,5030625.41093936
1 200,AVEN,PAPINEAU,,MTL,POSTE DE QUARTIER 22,45.52170000040,-73.55100000000,300815.868680692,5042421.45838719
7 405,AVEN,MOUNTAIN-SIGHTS,,MTL,POSTE DE QUARTIER 26,45.49609999920,-73.65160000040,292951.604697723,5039586.42891631
4 807,RUE,MOLSON,,MTL,POSTE DE QUARTIER 44,45.54240000060,-73.56929999960,299388.254281215,5044722.94219975
1 805,RUE,FLEURY,E,MTL,POSTE DE QUARTIER 27,45.56860000080,-73.65359999980,292810.707843807,5047643.72786048
750,RUE,WILLIBRORD,,VER,POSTE DE QUARTIER 16,45.45920000040,-73.57330000030,299067.450996659,5035477.16629009
14 680,BOUL,PIERREFONDS DE,,PRF,POSTE DE QUARTIER 3,45.48609999940,-73.85720000040,276877.866253688,5038526.01218613
8 200,BOUL,MAURICE-DUPLESSIS,,MTL,POSTE DE QUARTIER 45,45.63330000080,-73.58640000040,298063.769945476,5054826.14961521
8 225,AVEN,ESPLANADE DE L',,MTL,POSTE DE QUARTIER 31,45.53710000030,-73.63549999990,294217.598320268,5044140.54151282
1 432,RUE,STE-CATHERINE,O,MTL,POSTE DE QUARTIER 20,45.49609999920,-73.57650000040,298821.093301904,5039578.09620065
6 905,RUE,NOTRE-DAME,E,MTL,POSTE DE QUARTIER 48,45.57770000030,-73.51510000040,303621.555435005,5048643.66281027
8 181,BOUL,LACORDAIRE,,STL,POSTE DE QUARTIER 42,45.58530000040,-73.59410000030,297457.174208208,5049492.46234478
